name,about,incentives,disciplines,academia,skills,strategy,child_paths,display_name
"bill collectors, account collectors",bill and account collectors try to recover payment on overdue bills. They negotiate repayment plans with debtors and help them find solutions to make paying their overdue bills easier.,JOB,office and administrative support,"high school diploma, on-the-job training","listening, negotiating, speaking","find consumers and businesses who have overdue bills. Track down consumers who have an out-of-date address by using the internet, post office, credit bureaus, or neighbors. Inform debtors that they have an overdue bill and try to negotiate a payment",,""
"bookkeeping, accounting, and auditing clerks","bookkeeping, accounting, and auditing clerks produce financial records for organizations. They record financial transactions, update statements and check financial records for accuracy.",JOB,office and administrative support,"some college, on-the-job training","computer, detail oriented, integrity, math","use bookkeeping software, spreadsheets, and databases. Enter financial transactions into the appropriate computer software. Receive and record cash, checks and vouchers. Put costs and income into the software, assigning each to an appropriate account. Produce reports, such as balance sheets, income statements and totals by account","bookkeeping clerks, accounting clerks, auditing clerks",""
desktop publishers,"desktop publishers use computer software to design page layouts for newspapers, books, brochures and other items that are printed or published online",JOB,office and administrative support,"associates degree, on-the-job training","artistic ability, communication, detail oriented, organizational","review text, graphics or other materials created by writers and designers. Edit graphics, such as photographs or illustrations. Import text and graphics into publishing software. Integrate images and text to create cohesive pages",,""
financial clerks,"financial clerks do administrative work for many types of organizations. They keep records, help customers and carry out financial transactions",JOB,office and administrative support,high school diploma,"communication, math, organizational",keep and update financial data. Compute bills and charges. Offer customer assistance. Carry out financial transactions,"billing clerks, posting clerks, gaming cage workers. Payroll clerks. Timekeeping clerks, procurement clerks, brokerage clerks, credit authorizers, checkers, clerks, loan interviewers, new accounts clerks, insurance claims clerks, policy processing clerks",""
general office clerks,"general office clerks perform a variety of clerical tasks, including answering telephones, typing documents and filing records",JOB,office and administrative support,"high school diploma, on-the-job training","Customer-service, detail oriented, organizational","answer and transfer telephone calls or take messages. Sort and deliver incoming mail and send outgoing mail. Schedule appointments and receive customers or visitors. Provide general information to staff, clients or the public",,""
information clerks,"information clerks perform routine clerical duties such as maintaining records, collecting data and providing information to customers",JOB,office and administrative support,"high school diploma, on-the-job training","communication, integrity, interpersonal, organizational","prepare routine reports, claims bills or orders. Collect and record data from customers, staff, and the public. Answer questions from customers and the public about products or services. File and maintain paper or electronic records","correspondence clerks, Court clerks, eligibility interviewers, file clerks, hotel clerks, motel clerks, resort desk clerks, human resources assistants, interviewers, license clerks, municipal clerks, order clerks, reservation and transportation ticket ages, travel clerks",""
material recording clerks,"material recording clerks track product information in order to keep businesses and supply chains on schedule. They ensure proper scheduling, recordkeeping, and inventory control",JOB,office and administrative support,high school diploma,"communication, customer-service, detail oriented, math","keep records of items shipped, received or transferred to another location. Compile reports on various aspects of changes in production or inventory.. find, sort or move goods between different parts of the business. Check inventory records for accuracy","production clerks, planning clerks, expediting clerks, shipping clerks, receiving clerks, traffic clerks, stock clerks, order fillers, material clerks, product inspecting clerks",""
"police, fire and ambulance dispatchers","police, fire and ambulance dispatchers answer emergency and nonemergency calls",JOB,office and administrative support,"high school diploma, on-the-job training","ability to multitask, communication, decisionmaking, empathy, listening, typing",answer emergency telephone and alarm system calls determine the type of emergency and its location and decide the appropriate response on thee basis of agency procedures. Relay information to the appropriate first-responder agency. Coordinate the dispatch of emergency response personnel to accident scenes,,""
postal service workers,"postal service workers sell postal products and collect, sort and deliver mail",JOB,office and administrative support,"high school diploma, on-the-job training","Customer-service, physical stamina, physical strength","collect letters and parcels. Sort incoming letters and parcels. Sell stamps and other postal products. Get customer signatures for registered, certified and insured mail","postal service clerks, postal service mail carriers, postal service mail sorters, processors, processing machine operators",""
receptionists,"receptionists perform administrative tasks, such as answering phones, receiving visitors and providing general information about their organization to the public and customers",JOB,office and administrative support,"high school diploma, on-the-job training","Customer-service, integrity, interpersonal, organizational","answer telephone calls and take messages or forward calls. Schedule and confirm appointments and maintain calendars. Greet and welcome customers, clients and other visitors. Check visitors in and direct or escort them to specific destinations",,""
"secretaries, administrative assistants","secretaries and administrative assistants perform routine clerical and administrative duties. They organize files, prepare documents, schedule appointments and support other stuff",JOB,office and administrative support,high school diploma,"decisionmaking, interpersonal, organizational, writing","answer telephones and take messages or transfer calls. Schedule appointments and update calendar events. Arrange staff meetings. Handle incoming and outgoing mail and faxes. Prepare memos, invoices or other reports. Edit documents","executive secretaries, executive administrative assistants, legal secretaries, medical secretaries",""
tellers,"tellers are responsible for accurately processing routine transactions at a bank. These transactions include cashing checks, depositing money and collecting loan payments",JOB,office and administrative support,"high school diploma, on-the-job training","Customer-service, detail oriented, math","count the cash int heir drawer at the start of their shift. Accept checks, cash and other forms of payment from customers. Answer questions from customers about their accounts. Prepare specialized types of funds, such as travelers checks, savings bonds and money orders",,""
animal care and service workers,"animal care and service workers provide care for animals. They feed, groom, bathe, and exercise pets and other nonfarm animals",JOB,personal care and service,high school diploma,"compassion, customer-service, detail oriented, patience, physical stamina, problem-solving, reliability, trustworthiness","give food and water to animals. Clean equipment and the living spaces of animals.  Monitor animals and record details of their diet, physical condition and behavior. Examine animals for signs of illness or injury. Exercise animals bathe  animals, trim nails, clip hair, and attend to other groom needs","animal trainers, groomers, grooms, kennel attendants, nonfarm animal caretakers, pet sitters, zookeepers",""
"barbers, hairstylists, cosmetologists","barbers, hairstylists and cosmetologists provide haircutting, hairstyling and a range of other beauty services.",JOB,personal care and service,postsecondary nondegree award,"creativity, customer-service, listening, physical stamina, tidiness, time-management","inspect and analyze hair, skin and scalp to recommend treatment. Discuss hairstyle options. Wash, color, lighten and condition hair. Chemically change hair textures. Cut,dry and style hair. Receive payments from clients. Clean and disinfect all tools and work areas.","barbers, hairstylists, cosmetologists",""
childcare workers,"childcare workers attend to the basic needs of children, such as dressing, bathing, feeding and overseeing play. They may help younger children prepare for kindergarten or assist older children with homework.",JOB,personal care and service,"high school diploma, on-the-job training","communication, decisionmaking, instructional, interpersonal, patience, physical stamina","supervise and monitor the safety of children. Prepare and organize mealtimes and snacks for children. Help children keep good hygiene. Change the diapers of infants and toddlers. Organize activities or implement a curriculum that allows children to learn about the world and explore their interests. Develop schedules and routines to ensure that children have enough physical activity, rest and playtime","childcare center workers, family childcare providers, nannies",""
fitness trainers and instructors,"fitness trainers and instructors lead, instruct, and motivate individuals or groups in exercise activities, including cardiovascular exercise, strength training and stretching they work with people of all ages and skill levels.",JOB,personal care and service,"high school diploma, on-the-job training","Customer-service, communication, listening, motivational, physical fitness, problem-solving",demonstrate or explain how to perform various exercise and routines to minimize injuries and improve fitness. Watch clients do exercises to ensure that they are using the correct techniques. Provide alternative exercises during workouts or classes for different levels of fitness and skill. Monitor clients progress and adapt programs as needed,"group fitness instructors, specialized fitness instructors, personal fitness trainers, fitness directors",""
funeral service workers,funeral service workers organize and manage the details of a funeral,JOB,personal care and service,associates degree,"business, compassion, interpersonal, time-management",offer counsel and comfort to families and friends of the deceased. Provide information on funeral service options. Arrange for removal of the deceased’s body. Prepare the remains for the funeral. File death certificates and other legal documents with appropriate authorities.,"funeral service managers, funeral directors, morticians,",""
gaming services workers,"gaming services workers serve customers in gambling establishments, such as casinos or racetracks. Some workers tend slot machines or deal cards. Others take bets or pay out winnings. Still others supervise or manage gaming workers and operations",JOB,personal care and service,high school diploma,"communication, customer-service, leadership, math, organizational, patience",interact with customers and ensure that they have a pleasant experience. Monitor customers for violations of gaming regulations or casino policies. Inform their supervisor or a security employee of any irregularities they observe. Enforce safety rules and report hazards. Explain how to play the games to customers.,"slot supervisors, gaming dealers, gaming and sports book writers and runners",""
"manicurists, pedicurists","manicurists and pedicurists clean, shape and beautify fingernails and toenails",JOB,personal care and service,postsecondary nondegree award,"business, creativity, customer-service, dexterity","discuss nail treatments and services available. Remove nail polish clean, trim and file nails. Reduce calluses and rough skin. Massage and moisturize hands and feet. Polish or buff nails. Advise clients about nail and skin care for hands and feet. Promote and sell nail and skin care products. Clean  and disinfect their work area and tools.",,""
recreation workers,"recreation workers design and lead activities to help people stay active, improve fitness, and have fun. They work with groups in summer camps, fitness and recreational sports centers, nursing care facilities, nature parks and other settings. They may lead such activities as arts and crafts, sports, music, dramatics or games.",JOB,personal care and service,"high school diploma, on-the-job training","communication, flexibility, leadership, physical strength, problem-solving","plan, organize and lead activities for groups or recreation centers. Explain the rules of activities and instruct participants at a variety of skill levels. Enforce safety rules to prevent injury. Modify activities to suit the needs of specific groups, such as seniors. Administer basic first aid if needed. Organize and setup the equipment that is used in recreational activities","activity specialists, Recreation leaders, camp counselors",""
skincare specialists,skincare specialists cleanse and beautify the face and body to enhance a persons appearance,JOB,personal care and service,postsecondary nondegree award,"business, customer-service, initiative, physical stamina, tidiness, time-management","evaluate clients skin condition and appearance. Discuss available treatments and determine which products will improve clients skin quality. Remove unwanted hair, using wax, lasers or other approved treatments",,""
"assemblers, fabricators","assemblers and fabricators assemble finished products and the parts that go into them. They use tools, machines and their hands to make engines, computers, aircraft, ships, boats, toys, electronic devices, control panels and more",JOB,production,"high school diploma, on-the-job training","color vision, dexterity, math, mechanical, physical stamina, physical strength, technical","read and understand schematics and blueprints. Position or align components and parts either manually or with hoists. Use hand tools or machines to assemble parts. Conduct quality control checks clean and maintain work area, tools and other equipment.","aircraft structure assemblers, aircraft surfaces assemblers, Aircraft rigging assemblers, Aircraft systems assemblers, coil winders, coil tapers, coil finishers, electrical and electronic equipment assemblers, electromechanical equipment assemblers, engine and machine assemblers, structural metal fabricators, structural metal fitters, fiberglass laminators, fiberglass fitters, team assemblers, timing device assemblers, timing device adjusters, timing device calibrators",""
bakers,"bakers mix ingredients according to recipes in order to make breads, pastries and other baked goods",JOB,production,On-the-job training,"communication, detail oriented, math, physical stamina, physical strength","check the quality of baking ingredients. Prepare equipment for baking. Measure and weigh flour and other ingredients. Combine measured ingredients in mixers or blenders. Knead, roll, cut and shape dough. Place dough into pans, into molds, or onto baking sheets. Set oven temperatures and place items into ovens or onto grills","commercial bakers, production bakers, retail bakers",""
butchers,"butchers cut, trim and package meat for retail sale.",JOB,production,On-the-job training,"Customer-service, dexterity, physical stamina, physical strength","sharpen and adjust knives and cutting equipment. Receive, inspect and store meat upon delivery. Cut, debone or grind pieces of meat. Weigh, wrap, and display meat or meat products. Cut or prepare meats to specification or customers orders. Store meats in refrigerators or freezers at the required temperature.",,""
"dental and ophthalmic laboratory technicians, medical appliance technicians","dental and ophthalmic laboratory technicians and medical appliance technicians construct, fit or repair medical appliances and devices, including dentures, eyeglasses and prosthetics",JOB,production,"high school diploma, on-the-job training","detail oriented, dexterity, interpersonal, technical","follow detailed work orders and prescriptions. Determine which materials and tools will be needed. Bend, form and shape fabric or material. Polish and shape appliances and devices using hand or power tools","dental laboratory technicians, ophthalmic laboratory technicians, medical appliance technicians, orthotic and prosthetic technicians",""
food and tobacco processing workers,"food and tobacco processing workers operate equipment that mixes, cooks or processes ingredients used in the manufacturing of food and tobacco products",JOB,production,On-the-job training,"detail oriented, physical stamina, physical strength","Setup, start or load food or tobacco processing equipment. Check, weigh and mix ingredients according to recipes. Set and control temperatures, flow rates and pressures of machinery. Monitor and adjust ingredient mixes during production processes. Observe and regulate equipment gauges and controls.","food and tobacco machine operators and tenders, food batchmakers, food cooking machine operators and tenders",""
jewelers and precious stone and metal workers,"jewelers and precious stone and metal workers design, construct, adjust, repair, appraise and sell jewelry",JOB,production,"high school diploma, on-the-job training","artistic ability, detail oriented, dexterity, fashion sense, interpersonal, near vision, visualiation","design and create jewelry from precious metals and stones. Examine and grade diamonds and other gems. Clean and polish jewelry using polishing wheels and chemical baths. Repair jewelry by replacing broken clasps, altering ring sizes, or resetting stones. Smooth joints and rough spots and polish smoothed areas","gemologists, jewelry appraisers, jewelry designers, production jewelers",""
machinists and tool and die makers,"machinists and tool and die makers set up and operate a variety of computer-controlled and mechanically controlled machine tools to produce precision metal parts, instruments and tools",JOB,production,On-the-job training,"analytical, manual dexterity, math, computer application experience, mechanical, physical stamina, technical","read blueprints, sketches or computer-aided design and computer-aided manufacturing files. Set up, operate, and disassemble manual, automatic and computer numerically controlled machine tools. Align, secure, and adjust cutting tools and workpieces.","tool and die makers, machinists",""
metal and plastic machine workers,"metal and plastic machine workers set up and operate machines that cut, shape and form metal and plastic materials or pieces",JOB,production,On-the-job training,"computer, dexterity, mechanical, physical stamina, physical strength","set up machines according to blueprints. Monitor machines for unusual sound or vibration. Insert material into machines, manually or with a hoist. Operate metal or plastic molding, casting or coremaking machines. Adjust machine settings for temperature, cycle times and speed and feed rates. Remove finished products and smooth rough edges and imperfections","machine operators and tenders, computer-controlled machine tool operators, computer numer9ically controlled machine tool programmers, extruding and drawing machine setters, forging machine setters, rolling machine setters, patternmakers, model makers, pourers and casters,",""
painting and coating workers,"painting and coating workers paint and coat a wide range of products, including cars, jewelry and ceramics, often with the use of machines.",JOB,production,On-the-job training,"artistic ability, color vision, mechanical, physical stamina, physical strength","setup and operate machines that paint or coat products. Select the paint or coating needed for the job. Clean and prepare products to be painted or coated. Determine the required flow of paint and the quality of the coating. Apply paint or coating. Clean and maintain tools, equipment and work areas","coating tenders, painting tenders, spraying machine setters, painting workers, coating workers, decorating workers, transportation equipment painters",""
"power plant operators, distributors, and dispatchers","power plant operators, distributors and dispatchers control the systems that generate and distribute electric power",JOB,production,"high school diploma, on-the-job training","concentration, detail oriented, dexterity, mechanical, problem-solving","control power-generating equipment, which may use any one type of fuel such as coal, nuclear power or natural gas. Read charts, meters and gauges to monitor voltage and electricity flows. Check equipment and indicators to detect evidence of operating problems. Adjust controls to regulate the flow of power.","nuclear power reactor operators, power distributors and dispatchers, power plant operators.",""
quality control inspectors,quality control inspectors examine products and materials for defects or deviations from specifications,JOB,production,"high school diploma, on-the-job training","dexterity, math, mechanical, physical stamina, physical strength, technical","read blueprints and specifications. Monitor operations to ensure that they meet production standards. Recommend adjustments to the assembly or production process. Inspect, est or measure materials or products being produced. Measured products with rules, calipers, gauges or micrometers.","inspectors, materials inspectors, mechanical inspectors, samplers, sorters, testers",""
stationary engineers and boiler operators,"stationary engineers and boiler operators control stationary engines, boilers or other mechanical equipment to provide utilities for buildings or for industrial purposes",JOB,production,"high school diploma, on-the-job training","detail oriented, dexterity, mechanical, problem-solving","operate engines, boilers and auxiliary equipment. Read gauges, meters and charts to track boiler operations. Monitor boiler water, chemical and fuel levels. Activate valves to change the amount of water, air and fuel in boilers. Fire coal furnaces or feed boilers, using gas feeds or oil pumps. Inspect equipment to ensure that it is operating efficiently. Check safety devices routinely.",,""
water and wastewater treatment plant and system operators,"water and wastewater treatment plant and system operators manage a system of machines, often through the use of control boards, to transfer or treat water or wastewater",JOB,production,"high school diploma, on-the-job training","analytical, detail oriented, math, mechanical","add chemicals, such as ammonia or chlorine to disinfect water or other liquids. Inspect equipment on a regular basis. Monitor opearting conditions, meters and gauges.","water treatment plant and system operators, wastewater treatment plant and system operators",""
"welders, cutters, solderers, and brazers","welders, cutters, solderers and brazers use hand-held or remotely controlled equipment to join or cut metal parts. They also fill holes, indentations or seams in metal products",JOB,production,"high school diploma, on-the-job training","detail oriented, manual dexterity, physical stamina, physical strength, spatial-orientation, technical","study blueprints, sketches or specifications. Calculate the  dimensions of parts to be welded. Inspect structures or materials to be welded. Ignite torches or start power supplies. Monitor the welding process to avoid overheating. Maintain equipment and machinery.","welders, cutters, solderers, brazers",""
woodworkers,"woodworkers manufacture a variety of prodcuts such as cabinets and furniture, using wood, veneers, and laminates. They often combine and incorporate different materials into woodl",JOB,production,high school diploma,"detail oriented, dexterity, math, mechanical, physical stamina, physical strength, technical","understand detailed architectural drawings, schematics, shop drawings and blueprints. Prepare and set up machines and tooling for woodwork manufacturing. Lift wood pieces onto machines, either by hand or with hoists. Operate woodworking machines, including saws and milling and sanding machines.","cabinetmakers, bench carpenters, furniture finishers, wood sawing machine setters, wood sawing machine operators, wood sawing machine tenders, woodworking machine setters, woodworking machine operators, woodworking machine tenders",""
correctional officers and bailiffs,"correctional officers are responsible for overseeing individuals who have been arrested and are awaiting trial or who have been sentenced to serve time in jail or prison. Bailiffs are law enforcement officers who maintain safety and order in courtrooms. Their duties, which vary by court, include enforcing courtroom rules, assisting judges, guarding juries, delivering court documents and providing general security for courthourses",JOB,protective service,high school diploma,"decisionmaking, detail oriented, interpersonal, negotiating, physical strength, self-discipline","enforce rules and keep order within jails or prisons. Supervise activities of inmates. Inspect facilities to ensure that they  meet security and safety standards. Search inmates for contraband items. Report on inmate conduct. Escort and transport inmates. Ensure the security of the courtroom. Enforce courtroom rules. Follow court procedures. Escort judges, jurors, witnesses and prisoners. Handle evidence and court documents",,""
firefighters,"firefighters control and put out fires and respond to emergencies where life, property or the environment is at risk",JOB,protective service,"postsecondary nondegree award, on-the-job training","communication, compassion, courage, decisionmaking, physical stamina, physical strength","drive firetrucks and other emergency vehicles put out fires using water hoses, fire extinguishers, and water pumps. Find and rescue victims in burning buildings or in other emergency situations. Treat sick or injured people. Prepare written reports on emergency incidents. Clean and maintain equipment. Conduct drills and physical fitness training",wildland firefighters,""
fire inspectors,"fire inspectors examine buildings in order to detect fire hazards and ensure that federal, state and local fire codes are met. Fire investigators determine the origin and cause of fires and explosions. Forest fire inspectors and prevention specialists assess outdoor fire hazards in public and residential areas.",JOB,protective service,"high school diploma, on-the-job training, associates degree, bachelors degree","communication, critical-thinking, detail oriented, physical strength","search for fire hazards. Ensure that buildings comply with fire codes. Test fire alarms, sprinklers and other fire protection equipment. Collection and analyze evidence from scenes of fires and explosions. Interview witnesses. Reconstruct the scene of a fire or arson. Send evidence to laboratories to be tested for fingerprints or accelerants. Analyze information with chemists, engineers and attorneys.",fore first inspectors and prevention specialists,""
police and detectives,police officers protect lives and property. Detectives and criminal investigators gather facts and collect evidence of possible crimes.,JOB,protective service,"high school diploma, college degree, on-the-job training","communication, empathy, good judgment, leadership, perceptiveness, physical stamina, physical strength",respond to emergency and nonemergency calls. Patrol assigned areas. Conduct traffic stops and issue citations. Search for vehicle records and warrants using computers in the field. Obtain warrants and  arrest suspects. Collect and secure evidence from crime scenes. Observe the activities of suspects. Write detailed reports and fill out forms. Prepare cases and testify in court,"police and sheriffs patrol officers, transit and railroad police",""
private detectives and investigators,"private detectives and investigators search for information about legal, financial and personal matters. They offer many services, such as verifying peoples backgrounds and statements, finding missing persons an d investigating computer crimes",JOB,protective service,"high school diploma, less/5/years, on-the-job training","communication, decisionmaking, inquisitiveness, patience, resourcefulness","interview people to gather information. Search online, public and court records to uncover clues. Conduct surveillance. Collect evidence for clients. Check for civil judgments and criminal history.",skip tracers,""
security guards and gaming surveillance officers,"security guards and gaming surveillance officers patrol and protect property against theft, vandalism and other illegal activity",JOB,protective service,high school diploma,"communication, good judgment, observation, patience",enforce laws and protect an employers property. Monitor alarms and closed-circuit tv cameras. Respond to emergencies. Control building access for employees and visitors. Conduct security checks over a specified area. Write reports on what they observed while on duty. Detain violators,"security guards, gaming surveillance officers, gaming investigators",""
advertising sales agents,"advertising sales agents sell advertising space to businesses and individuals. They contact potential clients, make sales presentations and maintain client accounts",JOB,sales,"high school diploma, on-the-job training","communication, initiative, organizational, self-confidence",locate and contact potential clients to offer their firms advertising services. Explain to clients how specific types of advertising will help promote their products or services in the most effective way provide clients with estimates of the costs of advertising products or services,,""
cashiers,cashiers process payments from customers purchasing goods and services,JOB,sales,On-the-job training,"communication, customer-service, dexterity, near vision, patience, physical stamina",greet customers. Scan or register customers purchases. Accept payments from customers and give change and receipts. Bag or wrap customers purchases. Process returns and exchanges of merchandise,,""
insurance sales agents,insurance sales agents contact potential customers and sell one or more types of insurance. Insurance sales agents explain various insurance policies and help clients choose plans that suit them,JOB,sales,"high school diploma, on-the-job training","analytical, communication, initiative, self-confidence",call potential clients in order to expand their own customer base. Interview prospective clients to get information about their financial resources and discuss existing coverage. Explain the features of various policies.,property and casualty insurance agents. Life insurance agents. Health and long-term care insurance agents. Captive agents. Independent insurance agents,""
models,"models pose for artists, photographers, or customers to help advertise a variety of products, including clothing, cosmetics, food and appliances. Models also work as a fit or fitting model, enabling the manufacturer or fashion designer to achieve the best fit for new styles.",JOB,sales,NULL,"discipline, interpersonal, listening, organizational, persistence, photogenic, style","display clothing and merchandise in print and online advertisements. Promote products and services in television commercials. Wear designers clothing for runway fashion shows. Represent companies and brands at conventions, trade shows and other events. Pose for photos, paintings or sculptures",,""
real estate brokers and sales agents,"real estate brokers and sales agents help clients buy, sell and rent properties. Although brokers and agents do similar work, brokers are licensed to manage their own real estate businesses. Sales agents must work with a real estate broker.",JOB,sales,high school diploma,"business, interpersonal, organizational, problem-solving","solicit potential clients to buy, sell and rent properties. Advise clients on prices, mortgages, market conditions and related information. Compare properties to determine a competitive market price. Generate lists of properties for sale, including details such as location and features. Promote properties through advertisements, open houses, and listing services","real estate brokers, real estate sales agents",""
retail sales workers,"retail sales workers help customers find products they want and process customers payments. There are two types of retail sales workers: retail salespersons, who sell retail merchandise, such as clothing, furniture, and automobiles; and parts salespersons, who sell spare and replacement parts and equipment, especially car parts",JOB,sales,On-the-job training,"Customer-service, interpersonal, math, persistence, selling",greet customers and offer them assistance. Recommend merchandise based on customers wants and needs. Explain the use and benefit of merchandise to customers. Answer customers questions.,"retail salespersons, parts salespersons",""
sales engineers,sales engineers sell complex scientific and technological products or services to businesses. They must have extensive knowledge of the products parts and functions and must understand the scientific processes that make these productss work.,JOB,sales,bachelors degree,"interpersonal, problem-solving, self-confidence, technological",prepare and deliver technical presentations explaining products or services to existing and prospective customers. Talk with customers and engineers to assess equipment needs and to determine system requirements. Collaborate with sales teams to understand customer requirements and provide sales support. Secure and renew orders and arrange delivery. Plan and modify products to meet customer needs.,,""
"securities, commodities, and financial services sales agents","securities, commodities, and financial services sales agents connect buyers and sellers in financial markets. They sell securities to individuals, advise companies in search of investors and conduct trades",JOB,sales,bachelors degree,"analytical, customer-service, decisionmaking, detail oriented, initiative, math","contact prospective clients to present information and explain available services. Offer advice on the purchase or sale of particular securities. Buy and sell securities such as stocks and bonds. Buy and sell commodities such as corn, oil and gold. Monitor financial markets and the performance of individual securities. Analyze company finances to provide recommendations for public offerings, mergers and acquisitions.","brokers, investment bankers, investment banking sales agents and traders, floor brokers, financial services sales agents",""
travel agents,"travel agents sell transportation, lodging and admission to entertainment activities to individuals and groups planning trips. They offer advise on destinations, plan trip itineraries and make travel arrangements for clients.",JOB,sales,"high school diploma, on-the-job training","adventurousness, communication, customer-service, detail oriented, organizational","arrange travel for business and vacation customers. Determine customers needs and preferences, such as schedules and costs. Plan and arrange tour packages, excursions and day trips. Find fare and schedule information. Calculate total travel costs.","leisure travel agents, corporate travel agents",""
wholesale and manufacturing sales representatives,"wholesale and manufacturing sales representatives sell goods for wholesalers or manufacturers to businesses, government agencies and other organizations. They contact customers, explain the features of the products jthey are selling, negotiate prices and answer any questions that their customers may have about the products.",JOB,sales,On-the-job training,"Customer-service, interpersonal, physical stamina, self-confidence","identify prospective customers by using business directories, following leads from exiting clients, a d attending trade shows and conferences. Contact new and existing customers to discuss their needs and explain how specific products and services can meet these needs. Help customers select products to meet customers needs, product specifications and regulations.","inside sales representatives, outside sales representatives",""
airline and commercial pilots,"airline and commercial pilots fly and navigate airplanes, helicopters and other aircraft",JOB,transportation and material moving,"On-the-job training, license","communication, observational, problem-solving, quick reaction time",check the overall condition of the aircraft before and after every flight. Ensure that the aircraft is balanced and below its weight limit. Verify that the fuel supply is adequate and that weather conditions are acceptable. Prepare and submit flight plans to air traffic control,"airline pilots, commercial pilots",""
air traffic controllers,air traffic controllers coordinate the movement of aircraft to maintain safe distance between them,JOB,transportation and material moving,"associates degree, on-the-job training","communication, concentration, decisionmaking, math, organizational, problem-solving","monitor and direct the movement of aircraft on the ground and in the air. Control all ground traffic at airport runways and taxiways. Issue landing and takeoff instructions to pilots. Transfer control of departing flights to other traffic control centers and accept control of arriving flights. Inform pilots about weather, runway closures and other critical information.","tower controllers, approach and departure controllers, en route controllers",""
bus drivers,"bus drivers transport people between various places including work, school and shopping centers across state and national borders. Some drive regular routes and others transport passengers on chartered trips or sightseeing tours.",JOB,transportation and material moving,"high school diploma, commerical drivers license","Customer-service, hand-eye coordination, hearing ability, patience, physical health, visual ability",pick up and drop off passengers at designated locations. Follow a planned route according to a time schedule. Help disabled passengers get on and off the bus. Obey traffic laws and state and federal transit regulations. Follow procedures to ensure passenger safety. Keep passengers informed of possible delays. Perform basic maintenance. Keep the bus clean and presentable to the public.,"school bus drivers, local transit bus drivers, intercity bus drivers, charter bus drivers",""
delivery truck drivers and driver/sales workers,"delivery truck drivers and driver/sales workers pick up, transport, and drop off packages and small shipments within a local region or urban area. They drive trucks with a 26,000 pound gross vehicle weight capacity or less. Most of the time, they transport merchandise from a distribution center to businesses and households",JOB,transportation and material moving,"high school diploma, on-the-job training","Customer-service, hand-eye coordination, math, patience, sales, visual ability",load and unload their cargo. Communicate with customers to determine pickup and delivery needs. Report any incidents they encounter on the road to a dispatcher. Follow all applicable traffic laws. Report serious mechanical problems to the appropriate personnel. Keep their truck and associated equipment clean and in good working order. Accept payments for the shipment,"light truck drivers, driver/sakes workers",""
flight attendants,flight attendants provide routine services and respond to emergencies to ensure the safety and comfort of airline passengers.,JOB,transportation and material moving,"high school diploma, less/5/years, on-the-job training","attentiveness, communication, customer-service, decisionmaking, physical stamina","participate in preflight briefings with the pilots, to discuss cabin conditions and flight details. Conduct preflight inspections of emergency equipment.  Demonstrate the use of safety equipment and emergency equipment. Ensure that passengers have their seatbelts fastened when required and that all other safety requirements are observed. Serve and sell beverages, meals or snacks. Take care of passengers needs, particularly those with special needs",,""
hand laborers and material movers,"hand laborers and material movers manually move freight, stock or other materials. Some of these workers feed or remove material to or from machines, clean vehicles, pick up unwanted household goods and pack materials for moving",JOB,transportation and material moving,On-the-job training,"Customer-service, hand-eye coordination, listening, physical stamina, physical strength","manually move material from one place to another. Pack or wrap products by hand. Keep a record of the material they move. Signal machine operators to help move material. Clean cars, equipment and workplaces","cleaners of vehicles and equipment, hand laborers, freight movers, stock movers, material movers, hand packers, hand packagers, machine feeders, machine offbearers, refuse and recyclable material collectors",""
heavy and tractor-trailer truck drivers,"heavy and tractor-trailer truck drivers transport goods from one location to another. Most tractor-trailer drivers are long-haul drivers and operate trucks with a gross vehicle weight capacity of more than 26,000 pounds. These drivers deliver goods over intercity routes, sometimes spanning several states.",JOB,transportation and material moving,"postsecondary nondegree award, on-the-job training","Hand-eye coordination, hearing ability, physical health, visual ability","drive long distances. Report to a dispatcher any incidents encountered on the road. Follow all applicable traffic laws secure cargo for transport, using ropes, blocks, chains or covers. Inspect their trailers before and after the trip and record any defects they find. Maintain a log of their working hours, following all federal and state regulations.",,""
material moving machine operators,material moving machine operators use machinery to transport various objects. Some operators move construction materials around building sites or excavate earth from a mine. Others move goods around a warehouse or onto container ships.,JOB,transportation and material moving,"several years experience related occupation, high school diploma","alertness, communication, coordination, mechanical, visual ability","conveyor operators and tenders, crane and tower operators, dredge operators, excavating and loading machine dragline operators, hoist and winch operators, derrick operators, industrial truck and tractor operators, underground mining loading machine operators",,""
railroad workers,"workers in railroad occupations ensure that passenger and freight trains run on time and travel safely. Some workers drive trains, some coodinate the activities of the trains and others operate signals and switches in the rail yard.",JOB,transportation and material moving,"high school diploma, on-the-job training","communication, customer-service, decisionmaking, hand-eye coordination, hearing ability, leadership, mechanical, physical strength, visual ability",check the mechanical condition of locomotives and make adjustments when necessary. Document issues with a train that require further inspection. Operate locomotive engines within or between stations,"locomotive engineers, conductors, yardmasters, rail yard engineers, railroad brake operators, railroad signal operators, railroad switch operators, locomotive firers",""
